name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
,"37 Newbury St #3, Boston, MA 02116",parksidedentalboston.com,(617) 426-5549,0,4.8,42.35243,-71.1091559
,"9 Channel Center St, Boston, MA 02210",southbostondental.com,(617) 268-1030,0,4.9,42.3453352,-71.0876643
